3,1.0,1.0,1.0,20,3,1.0,2.0,1.0,20,2,1.0,1.0,1.0,21,2,1.0,2.0,1.0,21,1_major,6_minor,1_major,6_minor
2,0.125,0.5,2.5,6,1,0.5,0.5,3.0,6,2,0.125,0.5,3.5,6,3,0.25,1.0,4.0,6,4_major,3_minor,1_major,5_major
1,0.5,0.5,3.0,6,2,0.125,0.5,3.5,6,3,0.25,1.0,4.0,6,2,1.0,1.0,1.0,7,3_minor,1_major,5_major,1_major
2,0.5,1.0,3.0,12,3,0.25,1.0,4.0,12,2,1.0,1.0,1.0,13,2,1.0,1.0,1.0,13,1_major,5_major,1_major,5_major
3,0.25,1.0,4.0,12,2,1.0,1.0,1.0,13,2,1.0,1.0,1.0,13,1,0.5,1.0,3.0,13,5_major,1_major,5_major,1_major
3,0.5,1.0,3.0,2,,0.25,1.0,4.0,2,5,1.0,1.0,1.0,3,5,1.0,1.0,1.0,3,5_major,6_minor,1_major,4_major
,0.25,1.0,4.0,2,5,1.0,1.0,1.0,3,5,1.0,1.0,1.0,3,5,0.25,1.0,4.0,3,6_minor,1_major,4_major,6_minor
1,0.5,1.0,3.0,6,1,0.25,3.0,4.0,6,6,0.5,1.0,3.0,7,3,0.25,3.0,4.0,7,4_minor,1_minor,4_minor,1_minor
1,0.25,3.0,4.0,6,6,0.5,1.0,3.0,7,3,0.25,3.0,4.0,7,2,0.5,0.5,3.0,8,1_minor,4_minor,1_minor,4_minor
3,0.5,1.0,3.0,9,3,0.25,1.0,4.0,9,2,1.0,1.0,1.0,10,1,0.25,1.0,2.0,10,6_major,5_major,1_minor,4_minor
3,0.25,1.0,4.0,9,2,1.0,1.0,1.0,10,1,0.25,1.0,2.0,10,7,0.5,1.0,3.0,10,5_major,1_minor,4_minor,6_major
2,0.5,1.0,3.0,8,3,0.25,1.0,4.0,8,4,1.0,2.0,1.0,9,2,0.5,1.0,3.0,9,2_minor,5_major,6_minor,2_minor
3,0.25,1.0,4.0,8,4,1.0,2.0,1.0,9,2,0.5,1.0,3.0,9,2,0.5,1.0,3.0,9,5_major,6_minor,2_minor,5_major
2,0.25,1.0,2.0,24,3,0.5,1.0,3.0,24,3,0.5,1.0,3.0,24,2,1.0,1.0,1.0,25,4_major,5_major,6_minor,1_major
3,0.5,1.0,3.0,24,3,0.5,1.0,3.0,24,2,1.0,1.0,1.0,25,2,1.0,1.0,1.0,25,5_major,6_minor,1_major,4_major
5,0.25,1.0,2.0,7,4,0.5,1.0,3.0,7,4,0.25,1.0,4.0,7,3,1.0,1.0,1.0,8,6_major,3_major,4_minor,1_minor
4,0.5,1.0,3.0,7,4,0.25,1.0,4.0,7,3,1.0,1.0,1.0,8,3,1.0,1.0,1.0,8,3_major,4_minor,1_minor,6_major
2,0.5,1.0,3.0,14,3,0.25,1.0,4.0,14,4,1.0,2.0,1.0,15,4,0.5,1.0,3.0,15,2_minor,5_major,6_minor,2_minor
3,0.25,1.0,4.0,14,4,1.0,2.0,1.0,15,4,0.5,1.0,3.0,15,4,0.5,1.0,3.0,15,5_major,6_minor,2_minor,5_major
1,0.5,1.0,3.0,5,7,0.25,1.0,4.0,5,6,1.0,1.0,1.0,6,6,1.0,1.0,1.0,6,2_minor,1_major,4_major,1_major
7,0.25,1.0,4.0,5,6,1.0,1.0,1.0,6,6,1.0,1.0,1.0,6,6,0.5,1.0,3.0,7,1_major,4_major,1_major,4_major
1,0.25,3.0,4.0,5,5,0.5,1.0,3.0,6,5,0.5,3.0,3.0,6,5,0.5,1.0,3.0,7,1_major,5_major,1_major,5_major
5,0.5,1.0,3.0,6,5,0.5,3.0,3.0,6,5,0.5,1.0,3.0,7,6,0.25,3.0,4.0,7,5_major,1_major,5_major,1_major
2,0.5,1.0,3.0,4,2,0.25,1.0,4.0,4,3,1.0,2.0,1.0,5,2,0.5,1.0,3.0,5,5_major,6_major,1_minor,5_major
2,0.25,1.0,4.0,4,3,1.0,2.0,1.0,5,2,0.5,1.0,3.0,5,1,0.25,1.0,4.0,5,6_major,1_minor,5_major,6_major
5,1.0,1.0,1.0,8,5,0.25,1.0,2.0,8,4,0.5,1.0,3.0,8,4,0.5,1.0,3.0,8,1_major,4_major,3_minor,6_minor
5,0.25,1.0,2.0,8,4,0.5,1.0,3.0,8,4,0.5,1.0,3.0,8,3,1.0,1.0,1.0,9,4_major,3_minor,6_minor,1_major
1,0.25,1.0,2.0,6,7,0.25,1.0,4.0,6,1,1.0,1.0,1.0,7,1,1.0,1.0,1.0,7,6_minor,3_minor,1_major,5_major
7,0.25,1.0,4.0,6,1,1.0,1.0,1.0,7,1,1.0,1.0,1.0,7,1,1.0,1.0,1.0,7,3_minor,1_major,5_major,6_minor
6,0.25,1.0,4.0,9,1,1.0,1.0,1.0,10,1,0.25,1.0,2.0,10,7,0.5,1.0,3.0,10,7_major,3_major,7_major,6_major
1,1.0,1.0,1.0,10,1,0.25,1.0,2.0,10,7,0.5,1.0,3.0,10,3,0.25,1.0,4.0,10,3_major,7_major,6_major,7_major
2,0.25,1.0,4.0,15,2,1.0,0.5,1.0,16,1,0.125,0.5,1.5,16,7,0.25,1.0,2.0,16,3_major,1_minor,2_minor,1_minor
2,1.0,0.5,1.0,16,1,0.125,0.5,1.5,16,7,0.25,1.0,2.0,16,6,0.5,1.0,3.0,16,1_minor,2_minor,1_minor,7_major
1,1.0,1.0,1.0,15,1,1.0,2.0,1.0,15,3,1.0,1.0,1.0,16,3,1.0,2.0,1.0,16,1_major,6_minor,1_major,6_minor
1,1.0,2.0,1.0,15,3,1.0,1.0,1.0,16,3,1.0,2.0,1.0,16,5,1.0,1.0,1.0,17,6_minor,1_major,6_minor,1_major
2,0.5,1.0,3.0,17,2,0.5,0.5,3.0,17,1,0.125,0.5,4.5,17,7,1.0,1.0,1.0,18,6_major,3_major,4_minor,1_minor
2,0.5,0.5,3.0,17,1,0.125,0.5,4.5,17,7,1.0,1.0,1.0,18,1,0.25,1.0,2.0,18,3_major,4_minor,1_minor,3_major
1,1.0,1.0,1.0,10,3,0.25,2.0,2.0,10,1,0.25,2.0,4.0,10,3,0.25,2.0,2.0,11,1_minor,4_minor,1_minor,4_minor
3,0.25,2.0,2.0,10,1,0.25,2.0,4.0,10,3,0.25,2.0,2.0,11,3,0.25,2.0,4.0,11,4_minor,1_minor,4_minor,1_minor
"# key=C major, timeSig=4/4, beatDuration=1.0"
note0_scaleDegree,note0_beatStrength,note0_duration,note0_beat,note0_measure,note1_scaleDegree,note1_beatStrength,note1_duration,note1_beat,note1_measure,note2_scaleDegree,note2_beatStrength,note2_duration,note2_beat,note2_measure,note3_scaleDegree,note3_beatStrength,note3_duration,note3_beat,note3_measure,prevChord0,prevChord1,prevChord2,targetChord
2,0.5,1.0,3.0,8,2,0.5,0.5,3.0,8,1,0.125,0.5,4.5,8,7,1.0,1.0,1.0,9,6_major,3_major,4_minor,1_minor
2,0.5,0.5,3.0,8,1,0.125,0.5,4.5,8,7,1.0,1.0,1.0,9,1,0.25,1.0,2.0,9,3_major,4_minor,1_minor,3_major
1,0.25,1.0,4.0,16,1,1.0,1.0,1.0,17,7,0.25,1.0,2.0,17,1,0.5,1.0,3.0,17,7_major,3_major,7_major,6_major
1,1.0,1.0,1.0,17,7,0.25,1.0,2.0,17,1,0.5,1.0,3.0,17,1,0.25,1.0,4.0,17,3_major,7_major,6_major,7_major
5,0.25,3.0,4.0,8,6,0.5,1.0,3.0,9,5,0.25,3.0,4.0,9,2,0.5,1.0,3.0,10,1_major,2_minor,1_major,2_minor
6,0.5,1.0,3.0,9,5,0.25,3.0,4.0,9,2,0.5,1.0,3.0,10,5,0.25,3.0,4.0,10,2_minor,1_major,2_minor,1_major
1,1.0,2.0,1.0,3,3,0.5,1.0,3.0,3,3,0.25,1.0,4.0,3,2,1.0,2.0,1.0,4,5_major,1_minor,5_minor,5_major
3,0.5,1.0,3.0,3,3,0.25,1.0,4.0,3,2,1.0,2.0,1.0,4,7,0.5,1.0,3.0,4,1_minor,5_minor,5_major,1_minor
5,1.0,1.0,1.0,18,2,0.25,1.0,2.0,18,1,0.5,1.0,3.0,18,6,0.25,1.0,4.0,18,1_major,4_major,5_major,6_minor
2,0.25,1.0,2.0,18,1,0.5,1.0,3.0,18,6,0.25,1.0,4.0,18,5,1.0,1.0,1.0,19,4_major,5_major,6_minor,1_major
2,0.5,0.5,3.0,4,3,0.125,0.5,3.5,4,4,0.25,1.0,4.0,4,1,1.0,0.5,1.0,5,4_major,6_minor,2_minor,1_major
3,0.125,0.5,3.5,4,4,0.25,1.0,4.0,4,1,1.0,0.5,1.0,5,,0.125,0.5,1.5,5,6_minor,2_minor,1_major,2_minor
7,0.25,1.0,2.0,24,6,0.5,2.0,3.0,24,2,1.0,1.0,1.0,25,2,0.25,1.0,2.0,25,2_minor,5_minor,1_minor,2_minor
